Date,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24hr),% 1h,% 24h,% 7d
/historical/20130428/,Bitcoin,BTC,"$1,488,566,971.96",$134.21,"11,091,325",,0.64%,--,--
/historical/20130428/,Litecoin,LTC,"$74,637,021.57",$4.3484,"17,164,230",,0.80%,--,--
/historical/20130428/,Peercoin,PPC,"$7,250,186.65",$0.3865,"18,757,362",,-0.93%,--,--
/historical/20130428/,Namecoin,NMC,"$5,995,997.19",$1.1072,"5,415,300",,-0.05%,--,--
/historical/20130428/,Terracoin,TRC,"$1,503,099.40",$0.6469,"2,323,570",,0.61%,--,--
/historical/20130428/,Devcoin,DVC,"$1,424,087.30",$0.0003261,"4,366,620,160",,0.46%,--,--
/historical/20130428/,Novacoin,NVC,"$1,162,266.30",$4.2464,"273,706",,2.14%,--,--
/historical/20130505/,Bitcoin,BTC,"$1,288,693,216.22",$115.91,"11,118,050",,0.43%,2.97%,-13.81%
/historical/20130505/,Litecoin,LTC,"$62,298,217.32",$3.5909,"17,348,954",,0.10%,2.87%,-16.72%
/historical/20130505/,Namecoin,NMC,"$6,290,543.05",$1.1510,"5,465,350",,-1.19%,8.91%,1.64%
/historical/20130505/,Peercoin,PPC,"$5,718,446.46",$0.3037,"18,830,240",,0.31%,2.61%,-22.20%
/historical/20130505/,Feathercoin,FTC,"$2,017,436.23",$0.313,"6,444,650",,-12.81%,-29.71%,--
/historical/20130505/,Freicoin,FRC,"$1,627,438.51",$0.08114,"20,057,908",,-14.89%,-23.15%,--
/historical/20130505/,Terracoin,TRC,"$1,367,162.39",$0.568,"2,407,150",,1.13%,-3.05%,-12.34%
/historical/20130505/,Devcoin,DVC,"$1,052,081.53",$0.0002388,"4,406,170,112",,0.63%,-12.41%,-27.21%
/historical/20130505/,Novacoin,NVC,"$1,015,804.46",$3.6871,"275,503",,1.26%,5.17%,-11.72%
/historical/20130505/,Mincoin,MNC,"$118,657.23",$0.1159,"1,023,701",,0.31%,-60.48%,--
/historical/20130512/,Bitcoin,BTC,"$1,281,982,625.00",$115.00,"11,147,675",,-0.03%,-0.41%,-1.88%
/historical/20130512/,Litecoin,LTC,"$57,513,319.09",$3.2694,"17,591,130",,0.17%,-2.61%,-9.91%
/historical/20130512/,Namecoin,NMC,"$4,674,413.40",$0.8464,"5,522,700",,0.02%,0.61%,-26.82%
/historical/20130512/,Peercoin,PPC,"$4,585,556.07",$0.2427,"18,897,820",,-1.20%,-4.88%,-21.46%
/historical/20130512/,Novacoin,NVC,"$984,531.38",$3.5201,"279,685",,-0.10%,-0.28%,-4.43%
/historical/20130512/,Devcoin,DVC,"$983,447.61",$0.0002208,"4,454,020,096",,0.58%,3.67%,-8.65%
/historical/20130512/,Terracoin,TRC,"$954,262.84",$0.3807,"2,506,930",,-1.02%,-5.49%,-33.23%
/historical/20130512/,Feathercoin,FTC,"$820,221.45",$0.1253,"6,543,450",,-0.48%,-5.69%,-63.30%
/historical/20130512/,Freicoin,FRC,"$748,241.76",$0.03596,"20,807,988",,0.02%,-20.35%,-59.81%
/historical/20130512/,CHNCoin,CNC,"$489,370.40",$0.0966,"5,065,946",,2.83%,-11.26%,--
/historical/20130519/,Bitcoin,BTC,"$1,363,205,019.90",$121.99,"11,174,725",,-0.35%,-1.14%,5.70%
/historical/20130519/,Litecoin,LTC,"$58,760,675.05",$3.3035,"17,787,454",,-0.80%,-0.19%,0.98%
/historical/20130519/,Namecoin,NMC,"$4,789,082.16",$0.8576,"5,584,350",,0.94%,5.72%,0.51%
/historical/20130519/,Peercoin,PPC,"$3,934,412.36",$0.2074,"18,971,716",,-1.26%,15.47%,-14.73%
/historical/20130519/,Novacoin,NVC,"$1,020,004.70",$3.6182,"281,908",,-1.48%,-2.24%,1.88%
/historical/20130519/,Terracoin,TRC,"$934,991.48",$0.3587,"2,606,970",,-0.88%,-4.51%,-6.12%
/historical/20130519/,Devcoin,DVC,"$906,212.77",$0.0002013,"4,502,170,112",,0.08%,3.91%,-8.15%
/historical/20130519/,Feathercoin,FTC,"$833,818.95",$0.1269,"6,572,250",,0.34%,-0.47%,0.72%
/historical/20130519/,Freicoin,FRC,"$711,435.19",$0.03416,"20,827,516",,-0.34%,7.07%,-7.13%
/historical/20130519/,CHNCoin,CNC,"$485,058.81",$0.09515,"5,097,714",,0.76%,-4.04%,-0.39%
/historical/20130526/,Bitcoin,BTC,"$1,495,292,967.14",$133.48,"11,202,375",,-1.16%,1.74%,9.61%
/historical/20130526/,Litecoin,LTC,"$58,458,016.95",$3.2489,"17,993,154",,-0.37%,4.65%,-1.02%
/historical/20130526/,Namecoin,NMC,"$5,251,485.27",$0.9304,"5,644,600",,-2.32%,-1.64%,8.05%
/historical/20130526/,Peercoin,PPC,"$3,612,498.62",$0.1895,"19,059,134",,-6.42%,-9.94%,-9.29%
/historical/20130526/,Novacoin,NVC,"$1,225,595.40",$4.3087,"284,444",,-2.43%,3.43%,18.24%
/historical/20130526/,Devcoin,DVC,"$915,607.00",$0.0002015,"4,542,720,000",,-0.82%,1.54%,-1.00%
/historical/20130526/,Terracoin,TRC,"$842,448.90",$0.3123,"2,697,190",,-3.42%,-9.58%,-12.35%
/historical/20130526/,Freicoin,FRC,"$687,220.00",$0.0327,"21,014,232",,-1.19%,5.72%,-5.50%
/historical/20130526/,Feathercoin,FTC,"$654,331.38",$0.09878,"6,624,450",,-2.47%,-5.59%,-21.17%
/historical/20130526/,CHNCoin,CNC,"$374,915.45",$0.07341,"5,106,866",,-2.95%,-1.54%,-22.36%
/historical/20130602/,Bitcoin,BTC,"$1,373,839,383.45",$122.29,"11,234,075",,1.00%,-5.23%,-9.13%
/historical/20130602/,Litecoin,LTC,"$49,625,738.78",$2.7271,"18,197,154",,0.85%,-3.62%,-16.04%
/historical/20130602/,Namecoin,NMC,"$4,038,794.14",$0.7093,"5,694,100",,0.82%,-5.36%,-24.94%
/historical/20130602/,Peercoin,PPC,"$2,899,779.44",$0.1516,"19,122,498",,1.39%,-5.69%,-23.08%
/historical/20130602/,Novacoin,NVC,"$1,117,980.01",$3.9048,"286,310",,0.93%,-6.74%,-10.46%
/historical/20130602/,Devcoin,DVC,"$674,189.93",$0.0001467,"4,594,120,192",,1.00%,-0.73%,-27.32%
/historical/20130602/,Terracoin,TRC,"$662,838.49",$0.2385,"2,779,550",,1.00%,-11.96%,-25.29%
/historical/20130602/,Feathercoin,FTC,"$545,794.55",$0.08194,"6,661,250",,2.08%,-4.83%,-18.23%
/historical/20130602/,Freicoin,FRC,"$417,750.51",$0.01981,"21,086,442",,1.00%,-20.39%,-39.99%
/historical/20130602/,CHNCoin,CNC,"$287,451.99",$0.05625,"5,109,858",,1.00%,-3.95%,-26.10%
/historical/20130609/,Bitcoin,BTC,"$1,126,642,500.00",$100.00,"11,266,425",,-2.04%,-8.00%,-16.89%
/historical/20130609/,Litecoin,LTC,"$43,858,288.59",$2.3830,"18,404,654",,-1.66%,-7.44%,-11.80%
/historical/20130609/,Namecoin,NMC,"$3,311,798.26",$0.576,"5,749,650",,-2.41%,-6.50%,-17.73%
/historical/20130609/,Peercoin,PPC,"$2,267,778.06",$0.118,"19,218,458",,-1.20%,-1.33%,-20.40%
